id,category,title,content,tags,created_at
1,Psychology,Human Before Algorithm,Media sosial adalah tentang manusia. Algoritma hanya mengikuti perilaku manusia.,"[""psychology"",""mindset""]",2026-07-01 04:39:32.336471+00
2,Psychology,Trust,"Kepercayaan dibangun lewat konsistensi dan nilai, bukan lewat promosi.","[""trust""]",2026-07-01 04:39:32.336471+00
3,Psychology,Curiosity,Konten terbaik membuka rasa penasaran sebelum memberi jawaban.,"[""hook""]",2026-07-01 04:39:32.336471+00
4,Psychology,Emotion,Orang lebih mengingat emosi daripada informasi.,"[""storytelling""]",2026-07-01 04:39:32.336471+00
5,Content Strategy,Awareness,Awareness bukan menjual. Awareness membuat orang mengingat kita.,"[""awareness""]",2026-07-01 04:39:32.336471+00
6,Content Strategy,Content Goal,Setiap konten hanya boleh punya satu tujuan.,"[""strategy""]",2026-07-01 04:39:32.336471+00
7,Content Strategy,Audience,"Selalu mulai dari audiens, bukan dari ide konten.","[""audience""]",2026-07-01 04:39:32.336471+00
8,Content Strategy,Content Pillar,Gunakan beberapa pilar agar akun tidak monoton.,"[""pillar""]",2026-07-01 04:39:32.336471+00
9,Copywriting,Hook,Kalimat pertama hanya punya satu tugas: membuat orang membaca kalimat kedua.,"[""hook""]",2026-07-01 04:39:32.336471+00
10,Copywriting,CTA,CTA terbaik mengajak berpikir atau berdiskusi.,"[""cta""]",2026-07-01 04:39:32.336471+00
11,Copywriting,Simple,Gunakan bahasa yang terasa seperti ngobrol.,"[""copywriting""]",2026-07-01 04:39:32.336471+00
12,Branding,Positioning,Positioning adalah alasan orang memilihmu.,"[""branding""]",2026-07-01 04:39:32.336471+00
13,Branding,Consistency,Brand dibangun dari konsistensi kecil yang dilakukan berulang.,"[""branding""]",2026-07-01 04:39:32.336471+00
14,Threads,Threads Style,Threads lebih menghargai percakapan daripada promosi.,"[""threads""]",2026-07-01 04:39:32.336471+00
15,Threads,Opinion,Opini yang punya alasan lebih menarik daripada sekadar pendapat.,"[""threads""]",2026-07-01 04:39:32.336471+00
16,Threads,Observation,Mulailah dari observasi sederhana yang relate.,"[""threads""]",2026-07-01 04:39:32.336471+00
17,Storytelling,Conflict,Cerita tanpa konflik jarang menarik.,"[""story""]",2026-07-01 04:39:32.336471+00
18,Storytelling,Transformation,"Tunjukkan perubahan, bukan hanya hasil.","[""story""]",2026-07-01 04:39:32.336471+00
19,Business,Relationship,Hubungan jangka panjang lebih penting daripada penjualan cepat.,"[""business""]",2026-07-01 04:39:32.336471+00
20,Business,Value,Berikan manfaat sebelum meminta transaksi.,"[""business""]",2026-07-01 04:39:32.336471+00